source,num_years,start_year,end_year,derived,derived_details,geography,geography_id_name,geography_id,geography_name,demographic_category,demographic_category_label,min_age,max_age,unit,estimate,se,moe,cv,reliable,upper_ci,lower_ci,acs_table,acs_code,acs_label,acs_concept,pums_variables,overall_segment,reporting_segment,row_identifier,data_as_of,data_loaded_at,tract_name
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075010101,Census Tract 101,all,all demographics,0,120,population count,2045,255.3191489,420,0.12485044,TRUE,2465,1625,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 101,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075010102,Census Tract 101.02,all,all demographics,0,120,population count,1920,207.9027356,342,0.108282675,TRUE,2262,1578,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 101.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075010201,Census Tract 102,all,all demographics,0,120,population count,2331,324.6200608,534,0.139262145,TRUE,2865,1797,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 102,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075010202,Census Tract 102.02,all,all demographics,0,120,population count,1984,222.4924012,366,0.112143347,TRUE,2350,1618,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 102.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075010300,Census Tract 103,all,all demographics,0,120,population count,4282,343.4650456,565,0.08021136,TRUE,4847,3717,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 103,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075010401,Census Tract 104,all,all demographics,0,120,population count,2305,434.0425532,714,0.188304795,TRUE,3019,1591,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 104,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075010402,Census Tract 104.02,all,all demographics,0,120,population count,2238,229.1793313,377,0.102403633,TRUE,2615,1861,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 104.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011002,Census Tract 110.02,all,all demographics,0,120,population count,2266,271.7325228,447,0.119917265,TRUE,2713,1819,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 110.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011101,Census Tract 111,all,all demographics,0,120,population count,2728,218.8449848,360,0.080221769,TRUE,3088,2368,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 111,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011102,Census Tract 111.02,all,all demographics,0,120,population count,2141,195.7446809,322,0.091426754,TRUE,2463,1819,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 111.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011200,Census Tract 112,all,all demographics,0,120,population count,3298,248.0243161,408,0.075204462,TRUE,3706,2890,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 112,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011300,Census Tract 113,all,all demographics,0,120,population count,2920,345.2887538,568,0.118249573,TRUE,3488,2352,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 113,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011700,Census Tract 117,all,all demographics,0,120,population count,1727,194.5288754,320,0.112639766,TRUE,2047,1407,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 117,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011800,Census Tract 118,all,all demographics,0,120,population count,1590,173.2522796,285,0.108963698,TRUE,1875,1305,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 118,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011901,Census Tract 119.01,all,all demographics,0,120,population count,2390,145.2887538,239,0.060790274,TRUE,2629,2151,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 119.01,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075011902,Census Tract 119.02,all,all demographics,0,120,population count,2957,370.212766,609,0.125198771,TRUE,3566,2348,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 119.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012001,Census Tract 120,all,all demographics,0,120,population count,1938,237.6899696,391,0.122647043,TRUE,2329,1547,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 120,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012002,Census Tract 120.02,all,all demographics,0,120,population count,2196,279.0273556,459,0.127061637,TRUE,2655,1737,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 120.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012100,Census Tract 121,all,all demographics,0,120,population count,3586,235.8662614,388,0.065774194,TRUE,3974,3198,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 121,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012202,Census Tract 122.02,all,all demographics,0,120,population count,2714,280.2431611,461,0.10325835,TRUE,3175,2253,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 122.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012203,Census Tract 122.03,all,all demographics,0,120,population count,1920,251.0638298,413,0.130762411,TRUE,2333,1507,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 122.03,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012204,Census Tract 122.04,all,all demographics,0,120,population count,2639,260.1823708,428,0.098591274,TRUE,3067,2211,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 122.04,9/1/2022 12:17,9/1/2022 12:52,
